"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000001467",0.508844204677164,0.00148991946720709,"Cyp51","significant"
"ENSMUSG00000001472",-0.216260764727446,0.0121065418825148,"Tcf25","significant"
"ENSMUSG00000001473",2.40202305373077,2.15697321300564e-11,"Tubb6","significant"
"ENSMUSG00000001482",-0.225424218685163,5.38916972785699e-05,"Def8","significant"
"ENSMUSG00000001493",1.33982841452444,4.5980095421051e-05,"Meox1","significant"
"ENSMUSG00000001497",0.353013050095633,0.581831119109132,"Pax9","non-significant"
"ENSMUSG00000001504",2.190932273081,0.276905921624697,"Irx2","non-significant"
"ENSMUSG00000001506",0.993459063259154,0.0162045160973074,"Col1a1","significant"
"ENSMUSG00000001507",0.177013872978259,0.232970946023125,"Itga3","non-significant"
"ENSMUSG00000001508",-0.313129686304862,1.42853904510003e-07,"Sgca","significant"
"ENSMUSG00000001517",0.55419418698416,0.384599033352675,"Foxm1","non-significant"
"ENSMUSG00000001518",-0.112518051640929,0.326442580652393,"Itfg2","non-significant"
"ENSMUSG00000001520",-0.493813607780827,0.0917938757400202,"Nrip2","non-significant"
"ENSMUSG00000001521",0.156415350990827,0.426106212869166,"Tulp3","non-significant"
"ENSMUSG00000001524",-0.195070963363203,0.156532249076245,"Gtf2h4","non-significant"
"ENSMUSG00000001525",0.821975153213451,6.37908620216086e-10,"Tubb5","significant"
"ENSMUSG00000001542",-0.185898994244699,0.441292800709834,"Ell2","non-significant"
"ENSMUSG00000001552",0.170226890221825,0.273556467518302,"Jup","non-significant"
"ENSMUSG00000001555",0.581253182835616,0.00750422428759513,"Fkbp10","significant"
"ENSMUSG00000001558",1.35337514129809,0.0146029419229054,"Klhl10","significant"
"ENSMUSG00000001569",0.1066168990155,0.187199321557129,"Nom1","non-significant"
"ENSMUSG00000001576",0.240178913143634,6.09401172505864e-06,"Ergic1","significant"
"ENSMUSG00000001583",1.66556261464012,0.239656718735256,"Tnk1","non-significant"
"ENSMUSG00000001588",-0.329053355334428,0.594919974445523,"Acap1","non-significant"
"ENSMUSG00000001604",-0.269210612570308,2.40891371084719e-05,"Tcea3","significant"
"ENSMUSG00000001627",0.32549559796008,0.50398394951933,"Ifrd1","non-significant"
"ENSMUSG00000001630",-0.00667548267392179,0.962665371182368,"Stk38l","non-significant"
"ENSMUSG00000001632",-0.0786179516808742,0.509247046625424,"Brpf1","non-significant"
"ENSMUSG00000001642",-0.16959704520178,0.00318854304105221,"Akr1b1","significant"
"ENSMUSG00000001655",4.26213528695175,0.00724214834560976,"Hoxc13","significant"
"ENSMUSG00000001656",-0.170035442385049,0.146746983457644,"Hoxc11","non-significant"
"ENSMUSG00000001657",0.413869784158973,0.10059889576178,"Hoxc8","non-significant"
"ENSMUSG00000001661",0.420924911982096,0.0045136324676057,"Hoxc6","significant"
"ENSMUSG00000001663",-0.0672736950783429,0.80810670905685,"Gstt1","non-significant"
"ENSMUSG00000001665",0.145303193643181,0.699385425873977,"Gstt3","non-significant"
"ENSMUSG00000001666",0.339961082013437,0.17659435012658,"Ddt","non-significant"
"ENSMUSG00000001670",2.15686891794493,0.314058179628614,"Tat","non-significant"
"ENSMUSG00000001672",0.967964886513067,0.654938705848507,"Marveld3","non-significant"
"ENSMUSG00000001674",0.139566143220437,0.182486786133064,"Ddx18","non-significant"
