Gene,log2FC_disease,log2FC_treated,log2FC_treated_vs_WT,padj_disease,padj_treated,rescue_metric,rescue_status_fixed,GeneSymbol
ENSMUSG00000001228,1.259561866,-0.790656755,0.468905111,0.010521353,0.614250239,62.77236364,Partially rescued,Uhrf1
ENSMUSG00000001249,0.638991585,-0.203745411,0.435246174,0.001470108,0.833270332,31.88546073,Partially rescued,Hpn
ENSMUSG00000001270,0.530779551,0.073249651,0.604029202,0.019142487,0.963391826,-13.80039057,Worsened,Ckb
ENSMUSG00000001313,0.593740761,-0.041439184,0.552301577,0.00445542,0.976633926,6.979339591,Not rescued,Rnd2
ENSMUSG00000001424,1.122833525,-0.175604751,0.947228774,2.35144051756337e-33,0.612063369,15.63942891,Not rescued,Snd1
ENSMUSG00000001473,1.899024272,-0.612258081,1.28676619,2.1671326804666e-07,0.642173824,32.24066645,Partially rescued,Tubb6
ENSMUSG00000001525,0.894061393,-0.385568936,0.508492457,1.26670793261244e-11,0.244335242,43.12555479,Partially rescued,Tubb5
ENSMUSG00000001555,0.912292689,-0.379479673,0.532813016,5.84281062539157e-06,0.550667332,41.59626375,Partially rescued,Fkbp10
ENSMUSG00000001666,0.523609376,-0.048870965,0.474738411,0.02419717,0.976533954,9.333477829,Not rescued,Ddt
ENSMUSG00000001864,1.824656379,-0.305958309,1.51869807,1.73264776460636e-21,0.641334341,16.76799602,Not rescued,Aif1l
ENSMUSG00000001995,-0.696053052,0.175078911,-0.520974141,0.002279683,0.885664516,25.15309868,Not rescued,Sipa1l2
ENSMUSG00000002043,0.871083301,-0.447571598,0.423511704,0.000262941,0.507196879,51.38103289,Partially rescued,Trappc6a
ENSMUSG00000002055,1.305049637,-0.351698571,0.953351066,3.3625420735367e-15,0.433300968,26.94905704,Not rescued,Spag5
ENSMUSG00000002068,1.894755332,-0.1080807,1.786674632,7.11104025613144e-10,0.956293835,5.704203504,Not rescued,Ccne1
ENSMUSG00000002076,2.059898903,-0.470168134,1.58973077,4.16050799765172e-07,0.754630893,22.82481597,Not rescued,Hsf2bp
ENSMUSG00000002108,-0.579426009,0.018417207,-0.561008802,0.000229378,0.988228502,3.178526118,Not rescued,Nr1h3
ENSMUSG00000002111,2.043147772,-0.232669568,1.810478204,1.4906933060854e-15,0.851394227,11.38779931,Not rescued,Spi1
ENSMUSG00000002204,2.255920892,-0.795315381,1.460605511,1.68254834730537e-07,0.456742293,35.25457758,Partially rescued,Napsa
ENSMUSG00000002227,0.574451429,0.142553897,0.717005326,0.011228693,0.902086062,-24.81565708,Worsened,Mov10
ENSMUSG00000002233,0.605861102,-0.25349763,0.352363472,3.58162843792943e-08,0.408221843,41.84088219,Partially rescued,Rhoc
ENSMUSG00000002265,1.282551567,0.1207665,1.403318067,0.022678577,0.976533954,-9.416112634,Worsened,Peg3
ENSMUSG00000002297,1.07405087,-0.41998525,0.654065619,6.35638430701424e-05,0.619148424,39.1029198,Partially rescued,Dbf4
ENSMUSG00000002325,0.549416984,0.024332662,0.573749646,7.12093942811986e-05,0.981019132,-4.428815102,Worsened,Irf9
ENSMUSG00000002458,0.666051449,0.021482057,0.687533506,0.000242355,0.987356787,-3.225284857,Worsened,Rgs19
ENSMUSG00000002489,-0.658253486,0.212308886,-0.4459446,0.00048346,0.80814826,32.25336301,Partially rescued,Tiam1
ENSMUSG00000002602,0.725824321,-0.134014701,0.591809621,1.85745001555414e-07,0.865850426,18.46379306,Not rescued,Axl
ENSMUSG00000002603,0.8623349,-0.147851924,0.714482976,1.59787175259197e-09,0.842760252,17.14553405,Not rescued,Tgfb1
ENSMUSG00000002617,0.573264599,-0.034986058,0.538278541,0.025866207,0.983982951,6.102951012,Not rescued,Zfp40
ENSMUSG00000002668,1.469550035,-0.194304916,1.275245119,5.32641783295285e-06,0.911375507,13.22206877,Not rescued,Dennd1c
ENSMUSG00000002699,1.325038747,0.35512054,1.680159287,0.000187215,0.807168776,-26.80076647,Worsened,Lcp2
ENSMUSG00000002732,0.900835643,-0.181220695,0.719614948,1.11617368510448e-08,0.80393267,20.11695437,Not rescued,Fkbp7
ENSMUSG00000002831,-0.787639033,-0.077610619,-0.865249652,0.048638299,0.977545456,-9.853577075,Worsened,Plin4
ENSMUSG00000002845,0.763788506,-0.259400451,0.504388056,4.32682820831349e-17,0.241087235,33.96234016,Partially rescued,Tmem39a
ENSMUSG00000002847,0.592935761,0.052842299,0.64577806,0.000320871,0.966736332,-8.911977057,Worsened,Pla1a
ENSMUSG00000002897,0.875739694,0.096577305,0.972317,1.10288710584877e-07,0.919068919,-11.02808357,Worsened,Il17ra
ENSMUSG00000002985,1.070611098,-0.176699458,0.89391164,3.11189089209733e-09,0.865345396,16.50454197,Not rescued,Apoe
ENSMUSG00000003134,-0.518828043,0.119296377,-0.399531666,2.81362423747225e-05,0.864010035,22.99343276,Not rescued,Tbc1d8
ENSMUSG00000003153,-1.765504328,0.21207765,-1.553426678,1.5455670438214e-11,0.89226184,12.01229848,Not rescued,Slc2a3
ENSMUSG00000003283,2.204473806,-0.203062596,2.00141121,6.04370231277139e-06,0.952378807,9.211386187,Not rescued,Hck
ENSMUSG00000003348,0.625722882,-0.011302823,0.614420058,0.000545903,0.991223866,1.806362468,Not rescued,Mob3a
ENSMUSG00000003355,2.778996394,-0.695162936,2.083833458,1.77698604913149e-20,0.172048467,25.01489162,Not rescued,Fkbp11
ENSMUSG00000003452,0.769326168,0.027717802,0.79704397,0.006171269,0.988753397,-3.602867429,Worsened,Bicd1
ENSMUSG00000003484,2.233166587,0.252930707,2.486097294,6.40400414892439e-08,0.888488038,-11.3261012,Worsened,Cyp4f18
ENSMUSG00000003526,-0.586312477,-0.187228447,-0.773540923,0.008392162,0.86985567,-31.93321892,Worsened,Prodh
ENSMUSG00000003746,0.618120028,-0.036939192,0.581180835,6.54157056088404e-06,0.974686305,5.976054936,Not rescued,Man1a
ENSMUSG00000003762,0.640525794,-0.248383834,0.39214196,0.000427545,0.719386157,38.77811575,Partially rescued,Coq8b
ENSMUSG00000003779,1.069552155,-0.589749153,0.479803002,0.001011982,0.519168738,55.13982184,Partially rescued,Kif20a
ENSMUSG00000003812,0.69720567,-0.272102418,0.425103252,1.22568283197678e-07,0.470801895,39.02756811,Partially rescued,Dnase2a
ENSMUSG00000003814,1.155901157,-0.217637726,0.938263432,7.1795423960271e-77,0.13744139,18.82840278,Not rescued,Calr
ENSMUSG00000003882,1.634899468,-0.224493084,1.410406384,0.000402752,0.931431416,13.73130815,Not rescued,Il7r
ENSMUSG00000003948,-0.706278995,0.146676751,-0.559602244,5.04815915530393e-05,0.87975548,20.76753695,Not rescued,Mmd
