"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000002012",-0.19123375274256,0.548666107500845,"Pnck","non-significant"
"ENSMUSG00000002014",0.29199164200289,0.000105083999194667,"Ssr4","significant"
"ENSMUSG00000002015",0.476158018948233,3.03611679011393e-13,"Bcap31","significant"
"ENSMUSG00000002017",0.100612744806052,0.160075994740477,"Fam98a","non-significant"
"ENSMUSG00000002020",0.304628645570857,0.784062661894498,"Ltbp2","non-significant"
"ENSMUSG00000002028",-0.351895553365708,0.00315210013516771,"Kmt2a","significant"
"ENSMUSG00000002031",0.0668476645679446,0.668119703218987,"Ift46","non-significant"
"ENSMUSG00000002032",-0.0680524368506971,0.782898527033072,"Tmem25","non-significant"
"ENSMUSG00000002033",3.49776107652347,0.014209682108808,"Cd3g","significant"
"ENSMUSG00000002043",0.87109088333537,0.000273632194333845,"Trappc6a","significant"
"ENSMUSG00000002052",-0.16776708774147,0.0867233524364923,"Supt6","non-significant"
"ENSMUSG00000002055",1.30504986135783,3.44931317631789e-15,"Spag5","significant"
"ENSMUSG00000002058",-0.167231685627038,0.531276264466974,"Unc119","non-significant"
