Gene,log2FC_disease,log2FC_treated,log2FC_treated_vs_WT,padj_disease,padj_treated,rescue_metric,rescue_status_fixed,GeneSymbol
ENSMUSG00000001493,1.339811942,-0.137723967,1.202087976,3.28280525418888e-05,1,10.2793506,Not rescued,Meox1
ENSMUSG00000001506,0.993459063,0.082034335,1.075493399,0.016189561,1,-8.257444958,Worsened,Col1a1
ENSMUSG00000001525,0.821975147,-0.137659928,0.684315219,6.33259076562597e-10,1,16.74745625,Not rescued,Tubb5
ENSMUSG00000001555,0.581259149,0.134760176,0.716019325,0.006921332,1,-23.18418151,Worsened,Fkbp10
ENSMUSG00000001558,1.353297239,-0.511259658,0.842037581,0.014258744,1,37.7788148,Partially rescued,Klhl10
ENSMUSG00000001655,4.262362956,-1.231153887,3.031209069,0.006559804,1,28.8843043,Not rescued,Hoxc13
ENSMUSG00000001750,0.54047776,-0.138848653,0.401629107,2.43982907760089e-05,1,25.6899845,Not rescued,Tcirg1
ENSMUSG00000001761,0.669146098,0.109327797,0.778473895,0.000316572,1,-16.33840456,Worsened,Smo
ENSMUSG00000001827,2.375756625,-0.559417654,1.816338972,0.005838952,1,23.54692596,Not rescued,Folr1
ENSMUSG00000001864,1.003775289,0.380129142,1.383904431,3.81951129794012e-07,1,-37.86994427,Worsened,Aif1l
ENSMUSG00000002012,-0.600641782,-0.030294257,-0.63093604,0.01020363,1,-5.043648012,Worsened,Pnck
ENSMUSG00000002043,0.834516925,0.162203622,0.996720547,0.000590563,1,-19.43682828,Worsened,Trappc6a
ENSMUSG00000002055,1.103188199,-0.296734795,0.806453404,1.69155476023134e-11,1,26.89793049,Not rescued,Spag5
ENSMUSG00000002068,1.892055476,-0.191694234,1.700361242,2.41392209331734e-09,1,10.1315335,Not rescued,Ccne1
ENSMUSG00000002076,3.868731685,-0.462432977,3.406298708,9.09960377545893e-15,1,11.95308991,Not rescued,Hsf2bp
ENSMUSG00000002083,0.783205288,-0.282420597,0.500784691,0.00918243,1,36.05958766,Partially rescued,Bbc3
ENSMUSG00000002111,0.681823085,0.053067204,0.734890289,0.009383184,1,-7.783133929,Worsened,Spi1
ENSMUSG00000002204,1.139216512,0.159648067,1.298864579,0.006046411,1,-14.01384769,Worsened,Napsa
ENSMUSG00000002227,0.817403291,0.076428524,0.893831815,0.000182717,1,-9.350161067,Worsened,Mov10
ENSMUSG00000002233,0.810734871,-0.075717395,0.735017476,5.07346094783541e-14,1,9.339353392,Not rescued,Rhoc
ENSMUSG00000002265,1.501837943,-0.398341584,1.103496359,0.005985636,1,26.52360636,Not rescued,Peg3
ENSMUSG00000002324,2.348852694,0.011176039,2.360028732,0.010220625,1,-0.475808409,Worsened,Rec8
ENSMUSG00000002325,0.542348023,0.022540879,0.564888901,0.000100476,1,-4.156164979,Worsened,Irf9
