"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000001054",0.0237674753499215,0.974390689476328,"Rmnd5b","non-significant"
"ENSMUSG00000001056",-0.243163348917758,0.604407090429122,"Nhp2","non-significant"
"ENSMUSG00000001062",-0.0245406865880365,0.97020676215402,"Vps9d1","non-significant"
"ENSMUSG00000001065",-0.0466309949961312,0.962246757602288,"Zfp276","non-significant"
"ENSMUSG00000001082",-0.0747295607755596,0.962588041582949,"Mfsd10","non-significant"
"ENSMUSG00000001089",0.217415959673983,0.47975096075735,"Luzp1","non-significant"
"ENSMUSG00000001098",0.172792431736275,0.792686937074851,"Kctd10","non-significant"
"ENSMUSG00000001100",-0.0752651831554145,0.676617252146082,"Poldip2","non-significant"
"ENSMUSG00000001105",-0.104395471359863,0.873142149150712,"Ift20","non-significant"
"ENSMUSG00000001119",-0.1414462047899,0.897845998560562,"Col6a1","non-significant"
"ENSMUSG00000001120",-0.058343853699499,0.974379899238039,"Pcbp3","non-significant"
"ENSMUSG00000001123",0.200325004205207,0.670497029363795,"Lgals9","non-significant"
"ENSMUSG00000001127",0.0221718751471827,0.95684691377561,"Araf","non-significant"
"ENSMUSG00000001128",-0.0320031223135641,0.979488601344178,"Cfp","non-significant"
"ENSMUSG00000001131",-0.619476756197055,0.655119099749023,"Timp1","non-significant"
"ENSMUSG00000001134",-0.108554209325232,0.865719405548691,"Uxt","non-significant"
"ENSMUSG00000001138",0.0807512782624568,0.883056384004159,"Cnnm3","non-significant"
"ENSMUSG00000001143",0.0441046229731466,0.958396763572774,"Lman2l","non-significant"
"ENSMUSG00000001150",0.0532782395860417,0.904574045491432,"Mcm3ap","non-significant"
"ENSMUSG00000001151",0.00739827722090871,0.993104821954921,"Pcnt","non-significant"
"ENSMUSG00000001156",0.167701257233,0.838967090774484,"Mxd1","non-significant"
"ENSMUSG00000001157",-0.1132563332871,0.872438306818569,"Gmcl1","non-significant"
"ENSMUSG00000001158",0.00290957913549325,0.994896594866813,"Snrnp27","non-significant"
"ENSMUSG00000001166",0.274587915750997,0.920414673383517,"Oas1c","non-significant"
"ENSMUSG00000001173",-0.0135536617249057,0.989944319013175,"Ocrl","non-significant"
"ENSMUSG00000001175",0.0225989607865031,0.977430930012133,"Calm1","non-significant"
"ENSMUSG00000001211",0.0368364690441433,0.923721821339721,"Agpat3","non-significant"
"ENSMUSG00000001227",-0.227806417284447,0.854844773214541,"Sema6b","non-significant"
"ENSMUSG00000001228",-0.790658676971739,0.631330879342716,"Uhrf1","non-significant"
"ENSMUSG00000001229",-0.000920606965011769,0.997460325812506,"Dpp9","non-significant"
"ENSMUSG00000001240",0.090857940872794,0.957760129479797,"Ramp2","non-significant"
"ENSMUSG00000001247",-0.22199050397018,0.914837736501764,"Lsr","non-significant"
"ENSMUSG00000001248",-0.377185398511729,0.175395410060217,"Gramd1a","non-significant"
"ENSMUSG00000001249",-0.203742955376221,0.842375925473959,"Hpn","non-significant"
"ENSMUSG00000001270",0.0732280100163033,0.96579228833837,"Ckb","non-significant"
"ENSMUSG00000001280",0.124524466585347,0.676480307498821,"Sp1","non-significant"
"ENSMUSG00000001281",0.0698656990394775,0.979278025868659,"Itgb7","non-significant"
"ENSMUSG00000001285",-0.0298619416471366,0.974379899238039,"Myg1","non-significant"
"ENSMUSG00000001288",0.129115924829507,0.913053647415088,"Rarg","non-significant"
"ENSMUSG00000001289",-0.00877656615043301,0.989944319013175,"Pfdn5","non-significant"
"ENSMUSG00000001300",0.198214687693383,0.811500140409657,"Efnb2","non-significant"
"ENSMUSG00000001305",0.0660646169455692,0.925139026454751,"Rrp15","non-significant"
"ENSMUSG00000001313",-0.0414388655084727,0.977892924212673,"Rnd2","non-significant"
"ENSMUSG00000001323",0.0690019648402388,0.897845998560562,"Srr","non-significant"
"ENSMUSG00000001333",-0.0560038855065777,0.908691914675744,"Sync","non-significant"
"ENSMUSG00000001334",0.0308569746697533,0.977430930012133,"Fndc5","non-significant"
"ENSMUSG00000001348",-0.0127673317536014,0.997112199426127,"Acp5","non-significant"
"ENSMUSG00000001349",0.151513199580312,0.957760129479797,"Cnn1","non-significant"
"ENSMUSG00000001366",0.0294263610068842,0.967464721434617,"Fbxo9","non-significant"
"ENSMUSG00000001376",0.0611996637081224,0.872438306818569,"Vps50","non-significant"
"ENSMUSG00000001380",-0.100368719568322,0.66714165484271,"Hars1","non-significant"
"ENSMUSG00000001383",-0.137499943105774,0.68455885416623,"Zmat2","non-significant"
"ENSMUSG00000001403",-0.234584567216157,0.798397996267472,"Ube2c","non-significant"
"ENSMUSG00000001415",-0.0231760590986249,0.977430930012133,"Smg5","non-significant"
"ENSMUSG00000001416",-0.0772095845855561,0.866848174163374,"Cct3","non-significant"
"ENSMUSG00000001418",-0.198745822838906,0.376870651516931,"Glmp","non-significant"
"ENSMUSG00000001419",0.0288520336795524,0.947102724361435,"Mef2d","non-significant"
"ENSMUSG00000001420",0.25822077886166,0.733784708019218,"Tmem79","non-significant"
"ENSMUSG00000001424",-0.175604810148968,0.615747383514523,"Snd1","non-significant"
"ENSMUSG00000001435",-0.0636486092370409,0.966390173508356,"Col18a1","non-significant"
"ENSMUSG00000001436",-0.44607992676186,0.0562922863584786,"Slc19a1","non-significant"
"ENSMUSG00000001440",-0.0389392825571935,0.925158087725757,"Kpnb1","non-significant"
"ENSMUSG00000001441",0.0817594013694248,0.799204493207736,"Npepps","non-significant"
"ENSMUSG00000001444",-0.238657996783023,0.92664525007713,"Tbx21","non-significant"
"ENSMUSG00000001445",-0.0709616169089528,0.837459560774754,"Mrpl10","non-significant"
"ENSMUSG00000001467",0.0260522199471663,0.983422480588659,"Cyp51","non-significant"
"ENSMUSG00000001472",-0.110169563664388,0.753818188388277,"Tcf25","non-significant"
"ENSMUSG00000001473",-0.612258081263487,0.653001603759773,"Tubb6","non-significant"
"ENSMUSG00000001482",-0.0156559991415536,0.974390689476328,"Def8","non-significant"
"ENSMUSG00000001493",0.151464137880196,0.956034237578845,"Meox1","non-significant"
"ENSMUSG00000001506",-0.361061166341698,0.870614459984629,"Col1a1","non-significant"
"ENSMUSG00000001507",0.225449966064443,0.569669348108284,"Itga3","non-significant"
"ENSMUSG00000001508",-0.0240303331443836,0.963831007329622,"Sgca","non-significant"
"ENSMUSG00000001517",-0.192630137996385,0.958396763572774,"Foxm1","non-significant"
"ENSMUSG00000001518",0.0128563566157334,0.987574427574225,"Itfg2","non-significant"
"ENSMUSG00000001520",-0.194267322120517,0.888649911547506,"Nrip2","non-significant"
"ENSMUSG00000001521",-0.10568021321189,0.909025874693969,"Tulp3","non-significant"
"ENSMUSG00000001524",-0.0889933695131617,0.897845998560562,"Gtf2h4","non-significant"
"ENSMUSG00000001525",-0.385568810147771,0.251689490886969,"Tubb5","non-significant"
"ENSMUSG00000001542",0.062207121049939,0.966482009294181,"Ell2","non-significant"
"ENSMUSG00000001552",0.168882444157711,0.759523599101215,"Jup","non-significant"
"ENSMUSG00000001555",-0.379478468982991,0.569669348108284,"Fkbp10","non-significant"
"ENSMUSG00000001569",0.0431982929047446,0.916309836792861,"Nom1","non-significant"
"ENSMUSG00000001576",-0.0427782796373275,0.884896270799481,"Ergic1","non-significant"
"ENSMUSG00000001588",0.230948576610287,0.947102724361435,"Acap1","non-significant"
"ENSMUSG00000001604",0.0940721303404445,0.718492259699989,"Tcea3","non-significant"
"ENSMUSG00000001627",-0.145708133145428,0.962588041582949,"Ifrd1","non-significant"
"ENSMUSG00000001630",0.0483706855333313,0.922550764960977,"Stk38l","non-significant"
"ENSMUSG00000001632",-0.0552670861964121,0.920414673383517,"Brpf1","non-significant"
"ENSMUSG00000001642",0.0693833508974041,0.789167264991978,"Akr1b1","non-significant"
"ENSMUSG00000001656",0.181596283000657,0.613300657425003,"Hoxc11","non-significant"
"ENSMUSG00000001657",-0.243442325234736,0.816638569669123,"Hoxc8","non-significant"
"ENSMUSG00000001661",-0.080162023454661,0.928009978706483,"Hoxc6","non-significant"
"ENSMUSG00000001663",-0.36902022618312,0.491299701893558,"Gstt1","non-significant"
"ENSMUSG00000001665",-0.114883831603374,0.956768875199257,"Gstt3","non-significant"
"ENSMUSG00000001666",-0.048876480065035,0.977430930012133,"Ddt","non-significant"
"ENSMUSG00000001674",-0.0751187775972011,0.876158881050567,"Ddx18","non-significant"
"ENSMUSG00000001687",-0.000134839790324094,0.999844193374607,"Ubl3","non-significant"
"ENSMUSG00000001700",-0.0783094493924175,0.909816065744694,"Gramd2b","non-significant"
"ENSMUSG00000001707",-0.134460555036127,0.792686937074851,"Eef1e1","non-significant"
"ENSMUSG00000001729",-0.00242673003648513,0.996634418278431,"Akt1","non-significant"
"ENSMUSG00000001739",0.0149939101617279,0.992460810923187,"Cldn15","non-significant"
"ENSMUSG00000001741",0.413659076300898,0.430085187528415,"Il16","non-significant"
"ENSMUSG00000001750",-0.0473674923546593,0.964389961119476,"Tcirg1","non-significant"
"ENSMUSG00000001751",-0.120968683734642,0.89330627193138,"Naglu","non-significant"
"ENSMUSG00000001755",0.167606210568913,0.759445838762887,"Coasy","non-significant"
"ENSMUSG00000001761",0.0105975193108269,0.993011341551255,"Smo","non-significant"
"ENSMUSG00000001763",-0.0515694513265021,0.973252688427433,"Tspan33","non-significant"
"ENSMUSG00000001767",-0.00292321661250119,0.996294718762467,"Crnkl1","non-significant"
"ENSMUSG00000001768",0.0274005624386747,0.981586153348396,"Rin2","non-significant"
"ENSMUSG00000001774",0.0422323132322724,0.948217033157263,"Chordc1","non-significant"
"ENSMUSG00000001783",0.0044363159250773,0.990647121327956,"Rtcb","non-significant"
"ENSMUSG00000001785",0.0329319322617231,0.960163082759642,"Pwp1","non-significant"
"ENSMUSG00000001786",0.165919621383015,0.733653471613627,"Fbxo7","non-significant"
"ENSMUSG00000001794",-0.108918594772803,0.708825174761169,"Capns1","non-significant"
"ENSMUSG00000001802",0.00106913712706197,0.998113344928362,"Lrp3","non-significant"
"ENSMUSG00000001829",0.0709258406152422,0.861710175096958,"Clpb","non-significant"
"ENSMUSG00000001833",0.0547520179729734,0.849942295671215,"Septin7","non-significant"
"ENSMUSG00000001844",-0.103678142808612,0.825273409953764,"Zdhhc4","non-significant"
"ENSMUSG00000001847",-0.0370504915232522,0.909300109206781,"Rac1","non-significant"
"ENSMUSG00000001855",-0.00282036868188222,0.9945376202104,"Nup214","non-significant"
"ENSMUSG00000001864",-0.305988584797949,0.653549294152533,"Aif1l","non-significant"
"ENSMUSG00000001865",-0.0262379578898175,0.993104821954921,"Cpa3","non-significant"
