"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000001249",0.097153201047861,1,"Hpn","non-significant"
"ENSMUSG00000001260",0.616442629702429,1,"Gabrg1","non-significant"
"ENSMUSG00000001270",-0.108325532931667,1,"Ckb","non-significant"
"ENSMUSG00000001280",0.0413295196316595,1,"Sp1","non-significant"
"ENSMUSG00000001281",0.0178110032385722,1,"Itgb7","non-significant"
"ENSMUSG00000001285",0.011606565522545,1,"Myg1","non-significant"
"ENSMUSG00000001288",-0.0321258669485574,1,"Rarg","non-significant"
"ENSMUSG00000001289",0.0655316879983993,1,"Pfdn5","non-significant"
"ENSMUSG00000001300",0.133589118059153,1,"Efnb2","non-significant"
"ENSMUSG00000001305",0.076802413292557,1,"Rrp15","non-significant"
"ENSMUSG00000001313",-0.0233618601285849,1,"Rnd2","non-significant"
"ENSMUSG00000001323",0.0140029215637676,1,"Srr","non-significant"
"ENSMUSG00000001333",-0.122624230231123,1,"Sync","non-significant"
"ENSMUSG00000001334",-0.0093774584425632,1,"Fndc5","non-significant"
"ENSMUSG00000001348",-0.709945057021522,1,"Acp5","non-significant"
"ENSMUSG00000001349",-0.171461968202729,1,"Cnn1","non-significant"
"ENSMUSG00000001366",-0.00823903620544328,1,"Fbxo9","non-significant"
"ENSMUSG00000001376",0.0282986577988301,1,"Vps50","non-significant"
"ENSMUSG00000001380",0.0102515448133498,1,"Hars1","non-significant"
"ENSMUSG00000001383",0.0864624870490696,1,"Zmat2","non-significant"
"ENSMUSG00000001403",-0.122137190410652,1,"Ube2c","non-significant"
"ENSMUSG00000001415",-0.0817479149138292,1,"Smg5","non-significant"
"ENSMUSG00000001416",-0.098481522565373,1,"Cct3","non-significant"
"ENSMUSG00000001418",0.152439540785785,1,"Glmp","non-significant"
"ENSMUSG00000001419",0.00448722296591887,1,"Mef2d","non-significant"
"ENSMUSG00000001420",-0.0471118005168137,1,"Tmem79","non-significant"
"ENSMUSG00000001424",-0.219168423443424,1,"Snd1","non-significant"
"ENSMUSG00000001435",-0.0119612100717431,1,"Col18a1","non-significant"
"ENSMUSG00000001436",0.0315151076440265,1,"Slc19a1","non-significant"
"ENSMUSG00000001440",-0.0648172190927134,1,"Kpnb1","non-significant"
"ENSMUSG00000001441",-0.0893160823963792,1,"Npepps","non-significant"
"ENSMUSG00000001444",0.283216352371926,1,"Tbx21","non-significant"
"ENSMUSG00000001445",-0.00314391339892021,1,"Mrpl10","non-significant"
"ENSMUSG00000001467",-0.175431209030353,1,"Cyp51","non-significant"
"ENSMUSG00000001472",-0.0618524473898694,1,"Tcf25","non-significant"
"ENSMUSG00000001473",-0.417552023830347,1,"Tubb6","non-significant"
"ENSMUSG00000001482",0.0300784365819489,1,"Def8","non-significant"
"ENSMUSG00000001493",-0.137739986567937,1,"Meox1","non-significant"
"ENSMUSG00000001494",-3.04615879851981,1,"Sost","non-significant"
"ENSMUSG00000001496",1.43902538110843,1,"Nkx2-1","non-significant"
"ENSMUSG00000001497",-0.0809305042787894,1,"Pax9","non-significant"
"ENSMUSG00000001504",-0.312135674384061,1,"Irx2","non-significant"
"ENSMUSG00000001506",0.0820343353262765,1,"Col1a1","non-significant"
"ENSMUSG00000001507",-0.233489407034945,1,"Itga3","non-significant"
"ENSMUSG00000001508",-0.0302067476734074,1,"Sgca","non-significant"
"ENSMUSG00000001510",-0.0409546304660314,1,"Dlx3","non-significant"
"ENSMUSG00000001517",0.461158540524412,1,"Foxm1","non-significant"
"ENSMUSG00000001518",-0.104249572453545,1,"Itfg2","non-significant"
"ENSMUSG00000001520",0.398516154492542,1,"Nrip2","non-significant"
"ENSMUSG00000001521",-0.0151942835916351,1,"Tulp3","non-significant"
"ENSMUSG00000001524",0.120695712457291,1,"Gtf2h4","non-significant"
"ENSMUSG00000001525",-0.137659983005345,1,"Tubb5","non-significant"
"ENSMUSG00000001542",-0.166159126694608,1,"Ell2","non-significant"
"ENSMUSG00000001552",-0.238694159888504,1,"Jup","non-significant"
"ENSMUSG00000001555",0.134757984169227,1,"Fkbp10","non-significant"
"ENSMUSG00000001558",-0.511374425632935,1,"Klhl10","non-significant"
"ENSMUSG00000001566",-0.749759986306574,1,"Mnx1","non-significant"
"ENSMUSG00000001569",-0.0738254841863695,1,"Nom1","non-significant"
"ENSMUSG00000001576",-0.0302869479386661,1,"Ergic1","non-significant"
"ENSMUSG00000001583",-0.117333062078589,1,"Tnk1","non-significant"
"ENSMUSG00000001588",0.651180461038061,1,"Acap1","non-significant"
"ENSMUSG00000001604",0.0568733804892313,1,"Tcea3","non-significant"
"ENSMUSG00000001622",-0.749791481848726,1,"Csn3","non-significant"
"ENSMUSG00000001627",-0.0166614639900159,1,"Ifrd1","non-significant"
"ENSMUSG00000001630",-0.0684655881333776,1,"Stk38l","non-significant"
"ENSMUSG00000001632",-0.153432949208924,1,"Brpf1","non-significant"
"ENSMUSG00000001642",-0.00448887101400503,1,"Akr1b1","non-significant"
"ENSMUSG00000001655",-1.23096726570353,1,"Hoxc13","non-significant"
"ENSMUSG00000001656",0.0638188686384228,1,"Hoxc11","non-significant"
"ENSMUSG00000001657",0.103964727570501,1,"Hoxc8","non-significant"
"ENSMUSG00000001661",-0.00458849241816046,1,"Hoxc6","non-significant"
"ENSMUSG00000001663",0.178221308247652,1,"Gstt1","non-significant"
"ENSMUSG00000001665",0.0898691412190038,1,"Gstt3","non-significant"
"ENSMUSG00000001666",0.0179121171678196,1,"Ddt","non-significant"
"ENSMUSG00000001670",-2.8825592886325,1,"Tat","non-significant"
"ENSMUSG00000001672",0.788827237615228,1,"Marveld3","non-significant"
"ENSMUSG00000001674",-0.0764355000274405,1,"Ddx18","non-significant"
"ENSMUSG00000001687",-0.0324142589864094,1,"Ubl3","non-significant"
"ENSMUSG00000001700",-0.028786122332563,1,"Gramd2b","non-significant"
"ENSMUSG00000001707",0.00995399568045076,1,"Eef1e1","non-significant"
"ENSMUSG00000001729",0.0644933102281149,1,"Akt1","non-significant"
"ENSMUSG00000001739",0.400895940352419,1,"Cldn15","non-significant"
"ENSMUSG00000001741",-0.13897137791011,1,"Il16","non-significant"
"ENSMUSG00000001750",-0.138836328403545,1,"Tcirg1","non-significant"
"ENSMUSG00000001751",-0.155433129100762,1,"Naglu","non-significant"
"ENSMUSG00000001755",-0.0897197952921662,1,"Coasy","non-significant"
"ENSMUSG00000001761",0.109316630850927,1,"Smo","non-significant"
"ENSMUSG00000001763",0.0920973157812178,1,"Tspan33","non-significant"
"ENSMUSG00000001767",-0.0210678725392695,1,"Crnkl1","non-significant"
"ENSMUSG00000001768",-0.181733949710734,1,"Rin2","non-significant"
"ENSMUSG00000001773",-0.040059862176689,1,"Folh1","non-significant"
"ENSMUSG00000001774",-0.00607931319191759,1,"Chordc1","non-significant"
"ENSMUSG00000001783",0.0032322572933817,1,"Rtcb","non-significant"
"ENSMUSG00000001785",-0.107090123210988,1,"Pwp1","non-significant"
"ENSMUSG00000001786",-0.0536780300568123,1,"Fbxo7","non-significant"
"ENSMUSG00000001794",-0.0532588445885125,1,"Capns1","non-significant"
"ENSMUSG00000001802",0.050303500701472,1,"Lrp3","non-significant"
"ENSMUSG00000001804",0,1,"Dsg4","non-significant"
"ENSMUSG00000001815",1.40757125464026,1,"Evx2","non-significant"
"ENSMUSG00000001819",-3.04295326827157,1,"Hoxd13","non-significant"
"ENSMUSG00000001823",0,1,"Hoxd12","non-significant"
"ENSMUSG00000001827",-0.559523661036433,1,"Folr1","non-significant"
"ENSMUSG00000001829",-0.0862039832043785,1,"Clpb","non-significant"
"ENSMUSG00000001833",-0.0434374902566433,1,"Septin7","non-significant"
"ENSMUSG00000001844",0.0186338450591974,1,"Zdhhc4","non-significant"
"ENSMUSG00000001847",-0.00336611162481056,1,"Rac1","non-significant"
"ENSMUSG00000001855",-0.126810582390682,1,"Nup214","non-significant"
"ENSMUSG00000001864",0.380103450826937,1,"Aif1l","non-significant"
"ENSMUSG00000001865",0.133528210186446,1,"Cpa3","non-significant"
"ENSMUSG00000001870",-0.0345450130631801,1,"Ltbp1","non-significant"
"ENSMUSG00000001891",0.0358944590452148,1,"Ugp2","non-significant"
"ENSMUSG00000001901",0.692828715429614,1,"Kcnh6","non-significant"
"ENSMUSG00000001909",-0.0275345486473059,1,"Trmt1","non-significant"
"ENSMUSG00000001910",-0.119001574071721,1,"Nacc1","non-significant"
"ENSMUSG00000001911",-0.0520806694686498,1,"Nfix","non-significant"
